n,v,t,tempsCreacio,tempsHit,tempsMiss,tempsConsulta,compsHit,compsMiss,compsConsulta,tempsComp,tempsHash,tempsHash2,tempsHash3,aciertos,fallos
10000,4,4,0.001292,2.1813E-006,2.1813E-006,2.1813E-006,9.12225E-007,9.12225E-007,9.12225E-007,3.04075E-007,2.197E-007,0.000000233,1.4245E-006,40000,0
100000,2,2,0.018792,8.7219E-007,8.7219E-007,8.7219E-007,7.88625E-007,7.88625E-007,7.88625E-007,2.62875E-007,1.95765E-007,2.11415E-007,2.02135E-007,161243,38757
100000,2,2,0.011235,1.66623E-006,1.66623E-006,1.66623E-006,9.41205E-007,9.41205E-007,9.41205E-007,3.13735E-007,5.10325E-007,5.70245E-007,2.71925E-007,176977,23023
100000,2,2,0.01508,3.4608E-006,3.4608E-006,3.4608E-006,3.77372E-006,3.77372E-006,3.77372E-006,1.25791E-006,5.4075E-007,1.20149E-006,4.6066E-007,192299,7701
100000,2,2,0.01448,0.000001912,0.000001912,0.000001912,2.68685E-006,2.68685E-006,2.68685E-006,8.95615E-007,2.4714E-007,2.5336E-007,5.15905E-007,200000,0
100000,3,3,0.013531,9.5683E-007,9.5683E-007,9.5683E-007,8.6994E-007,8.6994E-007,8.6994E-007,0.00000029,2.1754E-007,2.24793E-007,2.24517E-007,257442,42558
100000,3,3,0.010122,9.0183E-007,9.0183E-007,9.0183E-007,0.000000798,0.000000798,0.000000798,0.000000266,2.0065E-007,2.06377E-007,2.2879E-007,274515,25485
100000,3,3,0.010776,9.44543E-007,9.44543E-007,9.44543E-007,8.5385E-007,8.5385E-007,8.5385E-007,2.84617E-007,2.3627E-007,2.12543E-007,2.11113E-007,291513,8487
100000,3,3,0.013044,1.15892E-006,1.15892E-006,1.15892E-006,8.702E-007,8.702E-007,8.702E-007,2.90067E-007,0.000000217,0.000000231,4.2089E-007,300000,0
100000,4,4,0.010711,1.05546E-006,1.05546E-006,1.05546E-006,8.92433E-007,8.92433E-007,8.92433E-007,2.97478E-007,2.91115E-007,2.52505E-007,2.14363E-007,355665,44335
100000,4,4,0.011834,1.03515E-006,1.03515E-006,1.03515E-006,9.04133E-007,9.04133E-007,9.04133E-007,3.01378E-007,2.4461E-007,2.29525E-007,2.5964E-007,373318,26682
100000,4,4,0.014619,8.81447E-007,8.81447E-007,8.81447E-007,8.0232E-007,8.0232E-007,8.0232E-007,2.6744E-007,1.96338E-007,2.02828E-007,2.14843E-007,391113,8887
100000,4,4,0.011204,9.616E-007,9.616E-007,9.616E-007,9.20693E-007,9.20693E-007,9.20693E-007,3.06898E-007,0.000000213,2.2352E-007,2.1817E-007,400000,0
