10000, 4 ,4 ,0.001027, 2.50349e-06 , 1.03554e-06 ,3.53903e-06 , 1.46634 , 0.916377 , 2.38272 ,2.25153e-07 , 4.38075e-07
10000, 4 ,4 ,0.00117, 1.64675e-06 , 9.6236e-07 ,2.60911e-06 , 1.46795 , 0.904883 , 2.37283 ,2.15967e-07 , 2.13225e-07
10000, 4 ,4 ,0.001586, 2.45098e-06 , 0 ,2.45098e-06 , 1.46447 , 0 , 1.46447 ,5.41406e-07 , 2.24775e-07
100000, 2 ,2 ,0.04056, 1.34541e-06 , 1.1008e-06 ,2.44621e-06 , 1.49371 , 0.988222 , 2.48194 ,2.26731e-07 , 1.9993e-07
100000, 2 ,2 ,0.023284, 1.98954e-06 , 2.28616e-06 ,4.2757e-06 , 1.49588 , 0.99065 , 2.48653 ,3.69784e-07 , 3.07245e-07
100000, 2 ,2 ,0.029473, 2.41218e-06 , 1.27108e-06 ,3.68327e-06 , 1.49466 , 0.990435 , 2.4851 ,3.10537e-07 , 3.67005e-07
100000, 2 ,2 ,0.020871, 1.38533e-06 , 0 ,1.38533e-06 , 1.49522 , 0 , 1.49522 ,2.03535e-07 , 2.0029e-07
100000, 3 ,3 ,0.02603, 1.52995e-06 , 1.09908e-06 ,2.62903e-06 , 1.51023 , 0.991645 , 2.50188 ,2.08359e-07 , 2.29453e-07
100000, 3 ,3 ,0.022565, 1.85873e-06 , 1.71444e-06 ,3.57316e-06 , 1.50732 , 0.988719 , 2.49604 ,2.70026e-07 , 2.3089e-07
100000, 3 ,3 ,0.027409, 1.43122e-06 , 1.07159e-06 ,2.50281e-06 , 1.50554 , 0.995989 , 2.50153 ,2.02106e-07 , 2.31e-07
100000, 3 ,3 ,0.034125, 2.12501e-06 , 0 ,2.12501e-06 , 1.49613 , 0 , 1.49613 ,2.16661e-07 , 2.7674e-07
100000, 4 ,4 ,0.028122, 2.03182e-06 , 1.5751e-06 ,3.60692e-06 , 1.49539 , 0.991539 , 2.48693 ,2.48547e-07 , 2.93993e-07
100000, 4 ,4 ,0.018532, 2.25916e-06 , 1.5471e-06 ,3.80626e-06 , 1.49721 , 0.991712 , 2.48893 ,3.5918e-07 , 3.14608e-07
100000, 4 ,4 ,0.013832, 1.47729e-06 , 1.08126e-06 ,2.55855e-06 , 1.49608 , 0.994219 , 2.4903 ,2.38245e-07 , 1.99585e-07
100000, 4 ,4 ,0.020788, 1.55888e-06 , 0 ,1.55888e-06 , 1.4965 , 0 , 1.4965 ,2.30446e-07 , 2.21935e-07
